Topic,Year,Words
Crime,2012-02-09,66
Democratic institutions,2012-02-09,0
Development finance insitutions,2012-02-09,0
Economic recession,2012-02-09,37
Economic recovery/growth,2012-02-09,0
Education,2012-02-09,469
Elections,2012-02-09,0
Electricity supply/energy security,2012-02-09,188
Environment/climate change,2012-02-09,70
Gender equality,2012-02-09,32
Health,2012-02-09,81
Housing,2012-02-09,482
Incentives for investment,2012-02-09,0
Incentives/support for industry,2012-02-09,112
Inequality,2012-02-09,21
Infrastructure development,2012-02-09,0
Innovation,2012-02-09,0
International relations (outside Africa),2012-02-09,0
Jobs,2012-02-09,392
Judicial system,2012-02-09,0
Labour broking,2012-02-09,52
Land reform/restitution,2012-02-09,132
Local government,2012-02-09,0
Mandela,2012-02-09,0
Migration/visas/borders,2012-02-09,0
Mining,2012-02-09,110
National minimum wage,2012-02-09,0
National Social Security Fund,2012-02-09,0
Operation Phakisa,2012-02-09,0
People with disabilities,2012-02-09,38
Police service,2012-02-09,0
Poverty,2012-02-09,0
Protests/violence,2012-02-09,0
Public service performance monitoring,2012-02-09,0
Public service spending cuts,2012-02-09,0
Racism,2012-02-09,0
Rhino poaching,2012-02-09,0
Rural development/agriculture,2012-02-09,0
SAA,2012-02-09,0
Service delivery,2012-02-09,0
Small business development,2012-02-09,19
Smart IDs,2012-02-09,0
Social cohesion/nation building,2012-02-09,455
Social grants,2012-02-09,6
Social security,2012-02-09,0
State-owned enterprises,2012-02-09,0
Strikes,2012-02-09,0
Tax Amendment Act,2012-02-09,0
Tax policy,2012-02-09,0
Tourism,2012-02-09,0
Transport,2012-02-09,135
Urbanisation,2012-02-09,0
Violence against women and children,2012-02-09,0
Water/sanitation,2012-02-09,283
Workers' rights,2012-02-09,0
Youth development/employment,2012-02-09,0
Africa,2013-02-14,302
Banking sector,2013-02-14,0
Black economic empowerment,2013-02-14,27
Communications technology/prices,2013-02-14,44
Corruption,2013-02-14,268
Crime,2013-02-14,44
Democratic institutions,2013-02-14,0
Development finance insitutions,2013-02-14,0
Economic recession,2013-02-14,44
Economic recovery/growth,2013-02-14,0
Education,2013-02-14,486
Elections,2013-02-14,0
Electricity supply/energy security,2013-02-14,174
Environment/climate change,2013-02-14,0
Gender equality,2013-02-14,59
Health,2013-02-14,311
Housing,2013-02-14,148
Incentives for investment,2013-02-14,0
Incentives/support for industry,2013-02-14,102
Inequality,2013-02-14,0
Infrastructure development,2013-02-14,799
Innovation,2013-02-14,0
International relations (outside Africa),2013-02-14,178
Jobs,2013-02-14,99
Judicial system,2013-02-14,0
Labour broking,2013-02-14,0
Land reform/restitution,2013-02-14,556
Local government,2013-02-14,0
Mandela,2013-02-14,0
Migration/visas/borders,2013-02-14,0
Mining,2013-02-14,256
National minimum wage,2013-02-14,0
National Social Security Fund,2013-02-14,0
Operation Phakisa,2013-02-14,0
People with disabilities,2013-02-14,0
Police service,2013-02-14,0
Poverty,2013-02-14,0
Protests/violence,2013-02-14,322
Public service performance monitoring,2013-02-14,0
Public service spending cuts,2013-02-14,0
Racism,2013-02-14,0
Rhino poaching,2013-02-14,57
Rural development/agriculture,2013-02-14,0
SAA,2013-02-14,0
Service delivery,2013-02-14,0
Small business development,2013-02-14,59
Smart IDs,2013-02-14,0
Social cohesion/nation building,2013-02-14,213
Social grants,2013-02-14,0
Social security,2013-02-14,0
State-owned enterprises,2013-02-14,0
Strikes,2013-02-14,0
Tax Amendment Act,2013-02-14,0
Tax policy,2013-02-14,112
Tourism,2013-02-14,35
Transport,2013-02-14,236
Urbanisation,2013-02-14,116
Violence against women and children,2013-02-14,314
Water/sanitation,2013-02-14,81
Workers' rights,2013-02-14,0
Youth development/employment,2013-02-14,180
Africa,2014-02-13,156
Banking sector,2014-02-13,0
Black economic empowerment,2014-02-13,77
Communications technology/prices,2014-02-13,41
Corruption,2014-02-13,233
Crime,2014-02-13,161
Democratic institutions,2014-02-13,88
Development finance insitutions,2014-02-13,0
Economic recession,2014-02-13,0
Economic recovery/growth,2014-02-13,212
Education,2014-02-13,372
Elections,2014-02-13,0
Electricity supply/energy security,2014-02-13,109
Environment/climate change,2014-02-13,38
Gender equality,2014-02-13,36
Health,2014-02-13,252
Housing,2014-02-13,90
Incentives for investment,2014-02-13,0
Incentives/support for industry,2014-02-13,224
Inequality,2014-02-13,0
Infrastructure development,2014-02-13,321
Innovation,2014-02-13,0
International relations (outside Africa),2014-02-13,119
Jobs,2014-02-13,179
Judicial system,2014-02-13,161
Labour broking,2014-02-13,0
Land reform/restitution,2014-02-13,100
Local government,2014-02-13,100
Mandela,2014-02-13,74
Migration/visas/borders,2014-02-13,0
Mining,2014-02-13,206
National minimum wage,2014-02-13,0
National Social Security Fund,2014-02-13,0
Operation Phakisa,2014-02-13,0
People with disabilities,2014-02-13,0
Police service,2014-02-13,0
Poverty,2014-02-13,0
Protests/violence,2014-02-13,423
Public service performance monitoring,2014-02-13,82
Public service spending cuts,2014-02-13,0
Racism,2014-02-13,0
Rhino poaching,2014-02-13,80
Rural development/agriculture,2014-02-13,82
SAA,2014-02-13,0
Service delivery,2014-02-13,178
Small business development,2014-02-13,0
Smart IDs,2014-02-13,0
Social cohesion/nation building,2014-02-13,304
Social grants,2014-02-13,99
Social security,2014-02-13,0
State-owned enterprises,2014-02-13,0
Strikes,2014-02-13,0
Tax Amendment Act,2014-02-13,0
Tax policy,2014-02-13,0
Tourism,2014-02-13,40
Transport,2014-02-13,151
Urbanisation,2014-02-13,0
Violence against women and children,2014-02-13,0
Water/sanitation,2014-02-13,85
Workers' rights,2014-02-13,0
Youth development/employment,2014-02-13,80
Africa,2014-06-17,231
Banking sector,2014-06-17,0
Black economic empowerment,2014-06-17,165
Communications technology/prices,2014-06-17,41
Corruption,2014-06-17,166
Crime,2014-06-17,44
Democratic institutions,2014-06-17,0
Development finance insitutions,2014-06-17,47
Economic recession,2014-06-17,0
Economic recovery/growth,2014-06-17,214
Education,2014-06-17,218
Elections,2014-06-17,0
Electricity supply/energy security,2014-06-17,515
Environment/climate change,2014-06-17,0
Gender equality,2014-06-17,49
Health,2014-06-17,81
Housing,2014-06-17,0
Incentives for investment,2014-06-17,157
Incentives/support for industry,2014-06-17,117
Inequality,2014-06-17,0
Infrastructure development,2014-06-17,217
Innovation,2014-06-17,0
International relations (outside Africa),2014-06-17,41
Jobs,2014-06-17,140
Judicial system,2014-06-17,0
Labour broking,2014-06-17,0
Land reform/restitution,2014-06-17,56
Local government,2014-06-17,539
Mandela,2014-06-17,47
Migration/visas/borders,2014-06-17,0
Mining,2014-06-17,226
National minimum wage,2014-06-17,56
National Social Security Fund,2014-06-17,0
Operation Phakisa,2014-06-17,0
People with disabilities,2014-06-17,108
Police service,2014-06-17,0
Poverty,2014-06-17,0
Protests/violence,2014-06-17,0
Public service performance monitoring,2014-06-17,23
Public service spending cuts,2014-06-17,0
Racism,2014-06-17,0
Rhino poaching,2014-06-17,0
Rural development/agriculture,2014-06-17,72
SAA,2014-06-17,0
Service delivery,2014-06-17,205
Small business development,2014-06-17,34
Smart IDs,2014-06-17,0
Social cohesion/nation building,2014-06-17,264
Social grants,2014-06-17,0
Social security,2014-06-17,0
State-owned enterprises,2014-06-17,0
Strikes,2014-06-17,40
Tax Amendment Act,2014-06-17,0
Tax policy,2014-06-17,0
Tourism,2014-06-17,84
Transport,2014-06-17,0
Urbanisation,2014-06-17,120
Violence against women and children,2014-06-17,0
Water/sanitation,2014-06-17,141
Workers' rights,2014-06-17,0
Youth development/employment,2014-06-17,108
Africa,2015-02-12,91
Banking sector,2015-02-12,0
Black economic empowerment,2015-02-12,28
Communications technology/prices,2015-02-12,80
Corruption,2015-02-12,121
Crime,2015-02-12,139
Democratic institutions,2015-02-12,0
Development finance insitutions,2015-02-12,0
Economic recession,2015-02-12,0
Economic recovery/growth,2015-02-12,199
Education,2015-02-12,135
Elections,2015-02-12,0
Electricity supply/energy security,2015-02-12,823
Environment/climate change,2015-02-12,31
Gender equality,2015-02-12,0
Health,2015-02-12,124
Housing,2015-02-12,95
Incentives for investment,2015-02-12,49
Incentives/support for industry,2015-02-12,183
Inequality,2015-02-12,0
Infrastructure development,2015-02-12,436
Innovation,2015-02-12,0
International relations (outside Africa),2015-02-12,173
Jobs,2015-02-12,150
Judicial system,2015-02-12,0
Labour broking,2015-02-12,0
Land reform/restitution,2015-02-12,188
Local government,2015-02-12,43
Mandela,2015-02-12,85
Migration/visas/borders,2015-02-12,60
Mining,2015-02-12,349
National minimum wage,2015-02-12,18
National Social Security Fund,2015-02-12,0
Operation Phakisa,2015-02-12,112
People with disabilities,2015-02-12,34
Police service,2015-02-12,0
Poverty,2015-02-12,0
Protests/violence,2015-02-12,56
Public service performance monitoring,2015-02-12,0
Public service spending cuts,2015-02-12,0
Racism,2015-02-12,0
Rhino poaching,2015-02-12,43
Rural development/agriculture,2015-02-12,201
SAA,2015-02-12,64
Service delivery,2015-02-12,0
Small business development,2015-02-12,27
Smart IDs,2015-02-12,41
Social cohesion/nation building,2015-02-12,276
Social grants,2015-02-12,0
Social security,2015-02-12,0
State-owned enterprises,2015-02-12,0
Strikes,2015-02-12,0
Tax Amendment Act,2015-02-12,0
Tax policy,2015-02-12,0
Tourism,2015-02-12,0
Transport,2015-02-12,54
Urbanisation,2015-02-12,16
Violence against women and children,2015-02-12,0
Water/sanitation,2015-02-12,173
Workers' rights,2015-02-12,99
Youth development/employment,2015-02-12,113
Africa,2016-02-11,101
Banking sector,2016-02-11,170
Black economic empowerment,2016-02-11,66
Communications technology/prices,2016-02-11,49
Corruption,2016-02-11,0
Crime,2016-02-11,0
Democratic institutions,2016-02-11,0
Development finance insitutions,2016-02-11,0
Economic recession,2016-02-11,0
Economic recovery/growth,2016-02-11,592
Education,2016-02-11,67
Elections,2016-02-11,74
Electricity supply/energy security,2016-02-11,231
Environment/climate change,2016-02-11,0
Gender equality,2016-02-11,0
Health,2016-02-11,177
Housing,2016-02-11,
Incentives for investment,2016-02-11,132
Incentives/support for industry,2016-02-11,94
Inequality,2016-02-11,0
Infrastructure development,2016-02-11,0
Innovation,2016-02-11,32
International relations (outside Africa),2016-02-11,179
Jobs,2016-02-11,0
Judicial system,2016-02-11,0
Labour broking,2016-02-11,0
Land reform/restitution,2016-02-11,149
Local government,2016-02-11,115
Mandela,2016-02-11,0
Migration/visas/borders,2016-02-11,50
Mining,2016-02-11,133
National minimum wage,2016-02-11,66
National Social Security Fund,2016-02-11,0
Operation Phakisa,2016-02-11,200
People with disabilities,2016-02-11,0
Police service,2016-02-11,73
Poverty,2016-02-11,0
Protests/violence,2016-02-11,0
Public service performance monitoring,2016-02-11,0
Public service spending cuts,2016-02-11,301
Racism,2016-02-11,149
Rhino poaching,2016-02-11,0
Rural development/agriculture,2016-02-11,88
SAA,2016-02-11,0
Service delivery,2016-02-11,175
Small business development,2016-02-11,40
Smart IDs,2016-02-11,0
Social cohesion/nation building,2016-02-11,146
Social grants,2016-02-11,0
Social security,2016-02-11,25
State-owned enterprises,2016-02-11,314
Strikes,2016-02-11,31
Tax Amendment Act,2016-02-11,39
Tax policy,2016-02-11,0
Tourism,2016-02-11,42
Transport,2016-02-11,0
Urbanisation,2016-02-11,0
Violence against women and children,2016-02-11,0
Water/sanitation,2016-02-11,172
Workers' rights,2016-02-11,0
Youth development/employment,2016-02-11,0
