Province,School,Sector,Learners
FS,HORINGSPRUIT PF/S,Public,6
FS,WYNANDSFONTEIN PF/S,Public,6
FS,LYSBETH PF/S,Public,6
FS,TASMANIA PF/S,Public,6
FS,KAALFONTEIN PF/S,Public,6
KZ,MFENI JP,Public,6
EC,GOLDEN VALLEY PUBLIC PRIMARY SCHOOL,Public,7
NW,MMATLHWAELA PRIMARY,Public,7
FS,DANIëLSRUS PF/S,Public,7
FS,ANNASPAN PF/S,Public,7
FS,MOLEBEDI PF/S,Public,7
FS,SARDINIA PF/S,Public,7
FS,BESTERSVLEI PF/S,Public,7
FS,VENUS PF/S,Public,7
FS,OSLAAGTE PF/S,Public,7
EC,HAASPOORT PRIMARY SCHOOL,Public,7
EC,FULLARTON U C C PRIMARY SCHOOL,Public,7
KZ,WILLOWDALE PRIMARY SCHOOL,Public,8
GP,ST MARY'S COLLEGE,INDEPENDENT,8
LP,LAERSKOOL TUINPLAAS,Public,8
EC,NTUSHUNTUSHU PRIMARY SCHOOL,Public,8
EC,IMVUMELWANO PRIMARY SCHOOL,Public,8
EC,MTANDENI SENIOR PRIMARY SCHOOL,Public,8
NC,WILLISTON JUNIOR KOLLEGE,INDEPENDENT,8
FS,TRENTHAM PF/S,Public,8
FS,MBEKA PF/S,Public,8
FS,SERFONTEIN PF/S,Public,8
FS,SAMADULA PF/S,Public,8
FS,SEPHESHA  PF/S,Public,8
FS,SEKHAAHLA PF/S,Public,8
EC,GROOTVLAKTE FARM SCHOOL,Public,8
EC,BEULAH NGK PRIMARY SCHOOL,Public,8
KZ,BROOKBY LEARNING PROJECT,INDEPENDENT,8
GP,WESLEYAN CHRISTIAN ACADEMY,INDEPENDENT,9
GP,THE GOAL CHRISTIAN ACADEMY,INDEPENDENT,9
KZ,RATANG PRIMARY SCHOOL,Public,9
KZ,SONDODA SS,Public,9
LP,MOUNT HOPE PRIMARY,Public,9
MP,AMALUMGELO PRIMARY SCHOOL,Public,9
EC,MDLANKOMO PRIMARY SCHOOL,Public,9
EC,VUYOLWETHU PRIMARY SCHOOL,Public,9
EC,RETREAT STATE AIDED SCHOOL,Public,9
NC,UPINGTON CHRISTIAN ACADEMY,INDEPENDENT,9
FS,GROENKOP PF/S,Public,9
FS,VERWISSELING PF/S,Public,9
FS,RANDJIES PF/S,Public,9
FS,DIFATENG PF/S,Public,9
FS,SEFOMELA PF/S,Public,9
FS,MAFODING PF/S,Public,9
FS,LERATO PF/S,Public,9
FS,ONGEGUND PF/S,Public,9
FS,BOHOLONG PF/S,Public,9
FS,EMAMMOHO PF/S,Public,9
FS,VETPAN PF/S,Public,9
FS,MAPULE PF/S,Public,9
KZ,BUYAPHILE PRIMARY SCHOOL,Public,9
KZ,ST ELIZABETH JP,Public,9
GP,THUTO KE LESEDI COLLEGE,INDEPENDENT,10
LP,MAMRUNYANA FARM COMBINED,Public,10
LP,NOORD BRABAND PRIMARY SCHOOL,Public,10
NW,MAHAHAKGETLWA PRIMARY SCHOOL,Public,10
GP,TZURIA LEARNING CENTRE,INDEPENDENT,10
EC,TSHILIZA PRIMARY SCHOOL,Public,10
EC,MAKHAKANZIMA JUNIOR PRIMARY SCHOOL,Public,10
EC,MORRISTON PRIMARY SCHOOL,Public,10
FS,NOOIT KONDENKEN PF/S,Public,10
FS,LELONG PF/S,Public,10
FS,GRASLAAGTE PF/S,Public,10
FS,KOLKIE PF/S,Public,10
FS,MEULRIVIER PF/S,Public,10
FS,VEELHOEK PF/S,Public,10
FS,BELLONA PF/S,Public,10
FS,BLYDSKAP PF/S,Public,10
FS,SWAELFONTEIN PF/S,Public,10
FS,REITHUTILE PF/S,Public,10
FS,BUITEN-AF PF/S,Public,10
KZ,ALPHA PRIMARY SCHOOL,Public,10
WC,THE LEADERSHIP COLLEGE OBSERVATORY,INDEPENDENT,10
EC,PORT ALFRED CHRISTIAN EDUCATION SCHOOL,INDEPENDENT,11
LP,TANGANEDZWA,Public,11
GP,GALLAGHER COMBINED SCHOOL,INDEPENDENT,11
GP,SCIENCES TUTORIALS,INDEPENDENT,11
GP,LYNNWOOD MANOR PRIVATE SCHOOL,INDEPENDENT,11
EC,PHILLIPTON PRIMARY SCHOOL,Public,11
FS,EXCELSIOR PF/S,Public,11
FS,TSHEPO-E-MOLEMO PF/S,Public,11
FS,BOKGABANE PF/S,Public,11
FS,GEDENK PF/S,Public,11
FS,UPLANDS PF/S,Public,11
FS,WONDERKOP PF/S,Public,11
FS,PHELLAPEDI PF/S,Public,11
FS,RAMAELE PF/S,Public,11
FS,LINCOLNSHIRE PF/S,Public,11
KZ,EKHUBENI PRIMARY SCHOOL,Public,11
EC,DRIE KUILEN PRIMARY SCHOOL,Public,11
EC,CONSTANTIA SSKV PRIMARY SCHOOL,Public,11
EC,VONDELING (UCC) PRIMARY SCHOOL,Public,11
WC,DESTINY ACADEMY,INDEPENDENT,11
EC,BELMONT FARM SCHOOL,Public,12
EC,BANZI PRIMARY SCHOOL,Public,12
LP,MOTLHAPING PRIMARY SCHOOL,Public,12
NW,KIRSTONIA PRIVAATSKOOL,INDEPENDENT,12
NW,MODISADINKU PRIMARY SCHOOL,Public,12
GP,FUNDAMENTAL FOUNDATION ACADEMY,INDEPENDENT,12
EC,GRASSDALE CHRISTIAN ACADEMY,INDEPENDENT,12
EC,MASHWABADE JUNIOR PRIMARY SCHOOL,Public,12
FS,LERUTLE PF/S,Public,12
FS,MOLEBOHE PF/S,Public,12
FS,WINKELPOS PF/S,Public,12
FS,HOPE PF/S,Public,12
FS,THABANTWA PF/S,Public,12
FS,ONS WAARDEER PF/S,Public,12
FS,LAXDALE PF/S,Public,12
FS,NTUTUBOLLE PF/S,Public,12
FS,MULLERSDRIFT PF/S,Public,12
FS,THABANG PF/S,Public,12
FS,RONDEBOSCH PF/S,Public,12
FS,VAALRIVIER PF/S,Public,12
FS,LEBONENG PF/S,Public,12
EC,BILL GANTO JUNIOR PRIMARY SCHOOL,Public,12
EC,LUCEBISO FARM SCHOOL,Public,12
WC,MORESTER PRIVAATSKOOL,INDEPENDENT,12
KZ,VUMA PRIMARY SCHOOL,Public,13
LP,ZANDKRAAL PRIMARY,Public,13
LP,PITINYANA PRIMARY SCHOOL,Public,13
LP,TOUCHSTONE,Public,13
NC,FRASERBURG (CVO) INTERMEDIATE SCHOOL,INDEPENDENT,13
FS,LA RIVIERA PF/S,Public,13
FS,BORIBENG PF/S,Public,13
FS,KLEINSTE PF/S,Public,13
FS,GELUKSDAL PF/S,Public,13
FS,EENDRAGT VOLKSKOOL CVO CI/S,INDEPENDENT,13
FS,LEEUKRAAL PF/S,Public,13
FS,MOEDING PF/S,Public,13
FS,NOORDSKOOL PF/S,Public,13
FS,HANS RAUTENBACH PF/S,Public,13
FS,ITEKENG PF/S,Public,13
FS,ETEMBENI PF/S,Public,13
FS,PHALLA PF/S,Public,13
FS,WILLENDANK PF/S,Public,13
FS,VOLSTRUISPAN PF/S,Public,13
FS,CORNTORITA PF/S,Public,13
KZ,MEYERSHOEK PRIMARY SCHOOL,Public,13
KZ,NQUTU PLACE OF SAFETY PRIMARY SCHOOL,Public,13
GP,TSHWANE INSTITUTE OF TECHNOLOGY FOUNDATION INDEPENDENT SCHOOL,INDEPENDENT,13
EC,BRIGHTON FARM SCHOOL,Public,13
EC,QAKA COMBINED SCHOOL,Public,14
MP,OHLANGENI PRIMARY SCHOOL,Public,14
NW,DUMELANG PRIMARY SCHOOL,Public,14
EC,GEBANE SENIOR PRIMARY SCHOOL,Public,14
EC,BELMORE SENIOR PRIMARY SCHOOL,Public,14
EC,EDEN CHRISTIAN SCHOOL,INDEPENDENT,14
FS,DANKBAARHEID PF/S,Public,14
FS,PICCANIN PF/S,Public,14
FS,ALICE PF/S,Public,14
FS,NUWE ENGELAND PF/S,Public,14
FS,RUBY PF/S,Public,14
FS,GERHARDUSDAM PF/S,Public,14
FS,GROENEWALD PF/S,Public,14
FS,KGWELE PF/S,Public,14
FS,KAHISANO PF/S,Public,14
FS,LEOKA PF/S,Public,14
GP,CRAIGHALL COLLEGE,INDEPENDENT,14
GP,FAERY GLEN THERAPY CENTRE,INDEPENDENT,15
EC,BELVEDERE FARM SCHOOL,Public,15
KZ,SHALOM PRIMARY SCHOOL,Public,15
KZ,ZIMELE PRIMARY SCHOOL,Public,15
KZ,BHEKENI JP,Public,15
LP,ROOIKOPPIES PRIMARY,Public,15
MP,A PETIT PAS INDEPENDENT SCHOOL,INDEPENDENT,15
WC,PRINGLE HOUSE,INDEPENDENT,15
GP,BRIGHT SPARK LEARNING ACADEMY,INDEPENDENT,15
EC,NOMPUCUKO SENIOR PRIMARY SCHOOL,Public,15
EC,ZANOZUKO JUNIOR PRIMARY SCHOOL,Public,15
EC,MADLANGENI PRIMARY SCHOOL,Public,15
EC,TEMBU JUNIOR PRIMARY SCHOOL,Public,15
FS,METSI A HARE PF/S,Public,15
FS,BRADFORD PF/S,Public,15
FS,CAROLINA PF/S,Public,15
FS,MARSALA PF/S,Public,15
FS,MANZINI PF/S,Public,15
FS,BURMAH PF/S,Public,15
FS,DORINGBOOM PF/S,Public,15
FS,MAMOSA PF/S,Public,15
FS,EENDRAG PF/S,Public,15
FS,RAROLOHA PF/S,Public,15
FS,SOMERVELD PF/S,Public,15
FS,RAPPARDSVLAKTE  PF/S,Public,15
FS,ALDAM PF/S,Public,15
KZ,COOPERDALE PRIMARY SCHOOL,Public,15
KZ,EBOYENI PRIMARY SCHOOL,Public,15
GP,LEARNING STRATEGIES INTERNATIONAL (LSI) COLLEGE,INDEPENDENT,15
KZ,RACING AND EQUESTR,INDEPENDENT,15
GP,EDUMORE CHRISTRIAN ACADEMY,INDEPENDENT,15
KZ,INGOLELA S,Public,16
MP,MODDERBULT PRIMARY SCHOOL,Public,16
MP,C V O SKOOL BETHAL,INDEPENDENT,16
NW,LAERSKOOL KAMEEL,Public,16
EC,MASIVUKE JUNIOR PRIMARY SCHOOL,Public,16
EC,PHUTHING SENIOR PRIMARY SCHOOL,Public,16
FS,MOKEJANE PF/S,Public,16
FS,MAMOJALEFA PF/S,Public,16
FS,KWA KWADUPE PF/S,Public,16
FS,SILEVU PF/S,Public,16
FS,BOPAPADI PF/S,Public,16
FS,NAHANA PF/S,Public,16
FS,HESTERDAL PF/S,Public,16
FS,PHEPHANI PF/S,Public,16
KZ,EKHANYENI (UMKOMAAS),Public,16
KZ,LUNGELO JS,Public,16
EC,MILLER (UCC) PRIMARY SCHOOL,Public,16
EC,NANGKOS PRIMARY FARM SCHOOL,Public,16
WC,KEEROM SSKV PRIM.,Public,16
LP,STEFANUS HOFMEYR PRIMARY SCHOOL,Public,17
MP,INQABA PRIMARY SCHOOL,Public,17
MP,BUTHANA PRIMARY SCHOOL,Public,17
NW,SYFERFONTEIN PRIMARY,Public,17
GP,HEAVENLY FLOWERS PRIVATE SCHOOL,INDEPENDENT,17
GP,LUX COLLEGE,INDEPENDENT,17
EC,XOKONXA SENIOR PRIMARY SCHOOL,Public,17
FS,AMETIS PF/S,Public,17
FS,MONT REVE PF/S,Public,17
FS,TEBELLO PF/S,Public,17
FS,SEKA PF/S,Public,17
FS,MOLWANE PF/S,Public,17
FS,BHOJWANA PF/S,Public,17
FS,SOLFERINO PF/S,Public,17
FS,MARIENDAL PF/S,Public,17
FS,TUMELWANO PF/S,Public,17
FS,DINASDEEL PF/S,Public,17
KZ,CURRAGH PRIMARY SCHOOL,Public,17
KZ,PALMIET (KOKSTAD),Public,17
EC,SPITZBAK (N G K )P SCHOOL,Public,17
EC,NOBANDA PRIMARY SCHOOL,Public,17
EC,CECILIA MAKIWANE HOSPITAL SCHOOL,Public,17
WC,WELTEVREDE NGK PRIM. (ROBERTS),Public,17
EC,ZINTLE PRIMARY SCHOOL,Public,18
GP,CVO MAGALIES,INDEPENDENT,18
MP,BUSBY PRIMARY SCHOOL,Public,18
NW,LS SCHOONSPRUIT,Public,18
NW,TSHWARANANG PRIMARY SCHOOL,Public,18
EC,ACADEMY HIGH SCHOOL,INDEPENDENT,18
EC,MANCAZANA UCC PRIMARY SCHOOL,Public,18
EC,ELANDHOOGTE FARM SCHOOL,Public,18
EC,NOKWINTI JUNIOR PRIMARY SCHOOL,Public,18
EC,MIDDLEWATER P,Public,18
EC,LUYOLO PRIMARY SCHOOL,Public,18
FS,PAPIESVLEI PF/S,Public,18
FS,KETA PF/S,Public,18
FS,OPLOOP PF/S,Public,18
FS,CAIRO PF/S,Public,18
FS,LETHOLA PF/S,Public,18
FS,MISGUN PF/S,Public,18
FS,MAKGETHA PF/S,Public,18
FS,WONDERKRING PF/S,Public,18
FS,GRENFELL PF/S,Public,18
FS,SEOTLO PF/S,Public,18
EC,BRAAMRIVIER PRIMARY SCHOOL,Public,18
EC,GQIBIBHONGO SECONDARY SCHOOL,Public,18
KZ,SKRAALHOEK PRIMARY SCHOOL,Public,18
KZ,ANCHORLITE COLLEGE,INDEPENDENT,18
WC,UITVLUG VGK PRIM.,Public,18
EC,LIVINGSTONE HOSPITAL PRIMARY SCHOOL,Public,19
MP,C V O SKOOL ERMELO,INDEPENDENT,19
MP,CASTILIAN PRIMARY SCHOOL,INDEPENDENT,19
NW,MATLHABATLHABE PRIMARY SCHOOL,Public,19
EC,NONTUTHUZELO SECONDARY SCHOOL,Public,19
EC,MDENI JUNIOR PRIMARY SCHOOL,Public,19
NC,NOUPOORT CHRISTIAN EDUCATION COLLEGE,INDEPENDENT,19
FS,MAGDALENA PF/S,Public,19
FS,MOFFAT PF/S,Public,19
FS,SPITSHOEK PF/S,Public,19
FS,RABONIE PF/S,Public,19
FS,MODDERPOORT IF/S,Public,19
FS,LAWRENCE PF/S,Public,19
FS,TONYA P/S,Public,19
FS,COOK CHRISTIAN SCHOOL,INDEPENDENT,19
WC,CAPE TOWN TORAH HIGH SCHOOL,INDEPENDENT,19
WC,HOOPLAND AKADEMIE VIR CHRISTELIKE ONDER,INDEPENDENT,19
EC,GLENDOWAN PRIMARY SCHOOL,Public,20
KZ,UKUFAKWAKHE JS,Public,20
KZ,MNDUNDUZELI JP,Public,20
LP,MPATHAKA,Public,20
LP,KGEREPI SECONDARY,Public,20
LP,NOKANANTSHWANA SECONDARY SCHOOL,Public,20
NW,SUNSHINE CHRISTIAN SCHOOL,INDEPENDENT,20
GP,MIDARND AFRIKAANSE AKADEMIE,INDEPENDENT,20
EC,KwaDLISO SECONDARY SCHOOL,Public,20
EC,QAQAWULI GODOLOZI JUNIOR PRIMARY SCHOOL,Public,20
EC,GUGWINI JUNIOR PRIMARY SCHOOL,Public,20
EC,MACKAYSKOP FARM SCHOOL,Public,20
EC,G MWANDA JUNIOR SECONDARY SCHOOL,Public,20
FS,MERWESHOOP PF/S,Public,20
FS,KWALENT PF/S,Public,20
FS,ONS SIN PF/S,Public,20
FS,NIEKERSKUIL PF/S,Public,20
FS,SEKGUTLONG PF/S,Public,20
FS,SWARTBERG PF/S,Public,20
FS,SUMMERFIELD PF/S,Public,20
KZ,ELLINGHAM JP,Public,20
EC,HAMBAKUHLE FARM SCHOOL,Public,20
WC,HEIDELBERG CHRISTIAN SCHOOL,INDEPENDENT,20
WC,KLUITJIESKRAAL NGK PRIM.,Public,20
GP,MAMOSA EDUCATIONAL INSTITUTE,INDEPENDENT,21
KZ,SAILORS GIFT JP,Public,21
KZ,UMKHATHINI PRIMARY SCHOOL,Public,21
KZ,UMOYA OMUSHA PRIMARY SCHOOL,Public,21
LP,HOOPDAL PRIMARY SCHOOL,Public,21
NW,NKOGOLWE,Public,21
GP,BIRNEL COLLEGE TRADING AS SELCOURT PRIVATE SCHOOL,INDEPENDENT,21
EC,THABISILE JUNIOR SECONDARY SCHOOL,Public,21
EC,CLAUDE MAKENG SENIOR PRIMARY SCHOOL,Public,21
EC,THE WILLOWS PRIMARY SCHOOL,Public,21
NC,MELTON WOLD PRIMÊRE SKOOL,Public,21
NC,GOODHOUSE NGK PRIMÊRE SKOOL,Public,21
FS,SPITSKOP PF/S,Public,21
FS,MAKAWAANSBANK PF/S,Public,21
FS,VAALBANKSPAN PF/S,Public,21
FS,BETEL PF/S,Public,21
FS,EZRA CHRISTIAN SCHOOL CI/S,INDEPENDENT,21
KZ,MTSHINGWANE PRIMARY SCHOOL,Public,21
EC,KLEINPLAAS PRIMARY SCHOOL,Public,21
EC,BOLO FARM SCHOOL,Public,21
KZ,SIZANAYO H,Public,21
GP,BELLRONA ACADEMY,INDEPENDENT,21
WC,CERES LIONS PRE-PRIM.,INDEPENDENT,21
WC,RETREAT NGK PRIM.,Public,21
WC,BUFFELSRIVIER PRIVATE PRIM.,INDEPENDENT,21
GP,BRITISH INTERNATIONAL COLLEGE-PRETORIA,INDEPENDENT,22
EC,KOMMADAGGA PRIMARY SCHOOL,Public,22
MP,GIJIGIJIMA PRIMARY SCHOOL,Public,22
NW,LAERSKOOL PIET PLESSIS,Public,22
NW,MARAMAGE PRIMARY SCHOOL,Public,22
EC,kwaBHOLA PUBLIC SCHOOL,Public,22
EC,MGQAKWEBE PRIMARY SCHOOL,Public,22
EC,SINETHEMBA ANTA PRIMARY SCHOOL,Public,22
EC,LUPHINDWENI JUNIOR PRIMARY SCHOOL,Public,22
EC,MANZOTHUKELA JUNIOR PRIMARY SCHOOL,Public,22
EC,ZWELIVUMILE PRIMARY SCHOOL,Public,22
EC,BETHANY JUNIOR SECONDARY SCHOOL,Public,22
EC,ESIXHOTYENI SENIOR PRIMARY SCHOOL,Public,22
EC,SODIDI JUNIOR SECONDARY SCHOOL,Public,22
FS,PIETERSHOF PF/S,Public,22
FS,RIO RUBRA PF/S,Public,22
FS,HARTBEESDRAAI PF/S,Public,22
FS,ESIHLAHLENI PF/S,Public,22
FS,TABU PF/S,Public,22
FS,HAMILTONSRUST PF/S,Public,22
FS,OLNEY PF/S,Public,22
FS,LEDIBOHONG PF/S,Public,22
FS,GAMABETWA P/S,Public,22
EC,HLABA HLABA PRIMARY SCHOOL,Public,22
EC,WINGS AVIATION ACADEMY,INDEPENDENT,23
EC,VERDUN PRIMARY SCHOOL,Public,23
KZ,TIGERVLEI PRIMARY SCHOOL,Public,23
NW,MADIBANA PRIMARY SCHOOL,Public,23
GP,EDUSON LEARNING CENTRE,INDEPENDENT,23
EC,NOMPUCUKO PRIMARY SCHOOL,Public,23
EC,MTOKWANE JUNIOR SECONDARY SCHOOL,Public,23
EC,LOWER ZANGQOKWE PRIMARY SCHOOL,Public,23
FS,AASVOëLKRANS PF/S,Public,23
FS,AUSTINSPOST PF/S,Public,23
FS,FRANSHOEK PF/S,Public,23
FS,AMACILIA PF/S,Public,23
FS,JONKERSKRAAL PF/S,Public,23
FS,MIDDELPAN PF/S,Public,23
KZ,MPALAZA PRIMARY SCHOOL,Public,23
EC,KROMMEDAM PRIMARY SCHOOL,Public,23
NW,KLIPVOOR  PRIMARY,Public,24
NW,KIBITWE PRIMARY SCHOOL,Public,24
GP,CONTANTIA KLOOF MONTESSORI,INDEPENDENT,24
EC,KOWIE FOUNDATION PRIMARY SCHOOL,INDEPENDENT,24
EC,MHLANGANISO PRIMARY SCHOOL,Public,24
EC,QAUKA PRIMARY SCHOOL,Public,24
EC,SAKHISIZWE PRIMARY SCHOOL,Public,24
EC,SIPHAMANDLA JUNIOR SECONDARY SCHOOL,Public,24
EC,TOIS FARM SCHOOL,Public,24
EC,DALUKHANYO JUNIOR PRIMARY SCHOOL,Public,24
EC,NZIMA SENIOR PRIMARY SCHOOL,Public,24
EC,ZENZELE SENIOR PRIMARY SCHOOL,Public,24
EC,MADLANGENI SENIOR PRIMARY SCHOOL,Public,24
EC,NOMZAMO PRIMARY SCHOOL,Public,24
EC,MZONDEKI JUNIOR SECONDARY SCHOOL,Public,24
NC,HANOVER DESTINY ACADEMY,INDEPENDENT,24
FS,THABO PF/S,Public,24
FS,TSHEPONG PF/S,Public,24
FS,HERITAGE IF/S,Public,24
FS,ROODERAND PF/S,Public,24
FS,DIKGOMONG PF/S,Public,24
FS,MOTIYANE P/S,Public,24
KZ,EMPONDO FARM PRIMARY SCHOOL,Public,24
KZ,ILANGA PRIMARY SCHOOL,Public,24
KZ,INDIKINI CP,Public,24
KZ,ISIPHETHU SEMFUNDO PRIMARY SCHOOL,Public,24
KZ,JUBANE PRIMARY SCHOOL,Public,24
KZ,TAFELKOP PRIMARY SCHOOL,Public,24
KZ,NSIMBINI PRIMARY SCHOOL,Public,24
WC,MOOI UITSIG PRIM NO.2,Public,24
WC,WELGEMOED NGK PRIM.,Public,24
EC,KOKSKRAAL PRIMARY SCHOOL,Public,25
LP,SEKATEKATE PRIMARY SCHOOL,Public,25
LP,MAKIDI SECONDARY,Public,25
LP,TSHAROTHA  PRIMARY  SCHOOL,Public,25
NW,RAMALEBYA PRIMARY SCHOOL,Public,25
NW,LOSPERFONTEIN,Public,25
WC,KINGS CHRISTIAN SCHOOL,INDEPENDENT,25
EC,ISIBANE JUNIOR PRIMARY SCHOOL,Public,25
EC,MSOBOMVU HIGH SCHOOL,Public,25
EC,TSENEKANA PRIMARY SCHOOL,Public,25
EC,NYIDLANA JUNIOR SECONDARY SCHOOL,Public,25
EC,SAMARIA JUNIOR SECONDARY SCHOOL,Public,25
EC,HOHOBENG JUNIOR PRIMARY SCHOOL,Public,25
FS,MISPA PF/S,Public,25
FS,DANIëLSRUS P/S,Public,25
FS,THIBELLA PF/S,Public,25
FS,WOLWAS PF/S,Public,25
KZ,EHLOKO PRIMARY SCHOOL,Public,25
KZ,ENGCUBA PRIMARY SCHOOL,Public,25
KZ,KWAZI PRIMARY SCHOOL,Public,25
KZ,MULLERSPASS FARM PRIMARY SCHOOL,Public,25
EC,SIDBURY PRIMARY SCHOOL,Public,25
KZ,SOLOKOHLO PRIMARY SCHOOL,Public,25
KZ,INTUITION,INDEPENDENT,25
WC,GULDEREN SULTAN CAPE  GIRLS' HIGH SCHOO,INDEPENDENT,25
WC,THE SINAI ACADEMY,INDEPENDENT,25
WC,HEROLD LS.,Public,25
LP,MAKARAPENG PRIMARY SCHOOL,Public,26
MP,NEW WINE CHRISTAIN SCHOOL,INDEPENDENT,26
NW,MOOKANE PRIMARY,Public,26
NW,WITPOORT PRIMARY SCHOOL,Public,26
NW,TOTIUS AKADEMIE,INDEPENDENT,26
EC,THANDISIZWE PRIMARY SCHOOL,Public,26
NC,LEPELSFONTEIN RK PRIMÊRE SKOOL,Public,26
FS,OVERDENE PF/S,Public,26
FS,INLANDSEE PF/S,Public,26
FS,GROENKORING PF/S,Public,26
KZ,BANGNEK JP,Public,26
KZ,EMAKHULUSENI SP,Public,26
KZ,GLENCALDER PRIMARY SCHOOL,Public,26
KZ,MKHOMAZANA,Public,26
GP,WATERKLOOF CHRISTIAN COLLEGE,INDEPENDENT,26
EC,kwaMHALA PRIMARY SCHOOL,Public,26
KZ,SIZWAYINKOSI PRIMARY SCHOOL,Public,26
KZ,THOLILE PRIMARY SCHOOL,Public,26
NW,DE BEERSKRAAL PRIMARY SCHOOL,Public,26
WC,CHRISTLIKE ACADEMY,INDEPENDENT,26
WC,SEEKOEGAT VGK PRIM.,Public,26
EC,GLEN CLIFF FARM SCHOOL,Public,27
KZ,UKUKHANYA PRIMARY SCHOOL,Public,27
LP,MARUTLE PRIMARY SCHOOL,Public,27
LP,BOKONI PRIMARY SCHOOL,Public,27
MP,REMHOOGTE PRIMARY SCHOOL,Public,27
NW,RANTSOU PRIMARY,Public,27
EC,MDUMISENI PRIMARY SCHOOL,Public,27
EC,MZAMOMHLE SENIOR SECONDARY SCHOOL,Public,27
EC,LINGELIHLE SENIOR PRIMARY SCHOOL,Public,27
EC,MOSEHLE SENIOR PRIMARY SCHOOL,Public,27
EC,NKAULWENI JUNIOR PRIMARY SCHOOL,Public,27
EC,CON' AMORE PUBLIC,Public,27
EC,BONTHOEK FARM SCHOOL,Public,27
NC,TNJ VAN DER WALT KOLLEGE,INDEPENDENT,27
FS,NIEKERKSVLEI PF/S,Public,27
FS,ANDERKANT PF/S,Public,27
FS,PATRYSHOEK PF/S,Public,27
FS,STEILFONTEIN IF/S,Public,27
FS,MAXIMILLIAN PF/S,Public,27
FS,TIDOR PF/S,Public,27
KZ,GCINOKUHLE JS,Public,27
GP,C.V.O. SKOOL WESRAND,INDEPENDENT,27
EC,REDDINGSHOOP FARM SCHOOL,Public,27
EC,DE HOOP (DRC) PRIMARY SCHOOL,Public,27
EC,GCINISA PRIMARY SCHOOL,Public,27
EC,LANGFONTEIN D R C PRIMARY SCHOOL,Public,27
EC,KAALHOEK FARM SCHOOL,Public,27
EC,DAM DAM PRIMARY SCHOOL,Public,27
WC,CAPE TOWN STUDIES AND TOURS,INDEPENDENT,27
WC,HEATHERHILL SCHOOL,INDEPENDENT,27
WC,ROSENDAL PRIM.,Public,27
WC,RIETVLEI NR 2 NGK PRIM.,Public,27
WC,PIKETBERG CHRISTIAN SCHOOL,INDEPENDENT,27
EC,SOUTHWELL INTERMEDIATE SCHOOL,Public,28
LP,MAKOPPA COMBINED SCHOOL,Public,28
LP,MALAKA PRIMARY,Public,28
NW,TABERNACLE OF GLORY PRIMARY SCHOOL,INDEPENDENT,28
EC,PHILLIP MZAMO SENIOR SECONDARY SCHOOL,Public,28
EC,OXFORD COLLEGE,INDEPENDENT,28
EC,MAGABA SENIOR PRIMARY SCHOOL,Public,28
EC,NYILI JUNIOR SECONDARY SCHOOL,Public,28
EC,ZIZAMELE SENIOR PRIMARY SCHOOL,Public,28
EC,GLENHOPE FARM SCHOOL,Public,28
EC,LAER NANAGA PRIMARY SCHOOL,INDEPENDENT,28
NC,LAERSKOOL SAAMBOU,Public,28
FS,MATOPPO PF/S,Public,28
KZ,CHANCENI PRIMARY SCHOOL,Public,28
